2017/10/30 18:43:57 Starting Registry Service
2017/10/30 19:08:15 2017-10-30 19:08:15.196463405 +0200 IST Starting Registry Service
2017/10/30 19:08:30 2017-10-30 19:08:30.128436137 +0200 IST Configuration  has 0 valid instances
2017/10/30 19:24:13 2017-10-30 19:24:13.306340366 +0200 IST Bot successrate is  100
2017/10/30 19:24:13 2017-10-30 19:24:13.30721588 +0200 IST Authentication successrate is  100
2017/10/30 19:24:13 2017-10-30 19:24:13.308060043 +0200 IST User successrate is  100
2017/10/30 19:24:13 2017-10-30 19:24:13.308789991 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.165686303 +0200 IST Bot successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.166211123 +0200 IST Bot successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.166498376 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.167162035 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.167942086 +0200 IST User successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.168098079 +0200 IST User successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.168190103 +0200 IST Bot successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.169438579 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.169543228 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.16961405 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.170167731 +0200 IST Bot successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.170621958 +0200 IST User successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.170882323 +0200 IST Bot successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.171427194 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.171740172 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.171833238 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.172700341 +0200 IST User successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.173282952 +0200 IST User successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.173908344 +0200 IST Authentication successrate is  100
2017/10/30 19:24:17 2017-10-30 19:24:17.175044853 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.298278975 +0200 IST Bot successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.298977822 +0200 IST Bot successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.300173138 +0200 IST Bot successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.30027184 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.300225492 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.301102838 +0200 IST User successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.301145978 +0200 IST Bot successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.301445386 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.301602512 +0200 IST User successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.301967944 +0200 IST Bot successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.302263561 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.302404268 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.302716263 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.302716264 +0200 IST User successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.303030596 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.303695472 +0200 IST User successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.303871171 +0200 IST Authentication successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.304244088 +0200 IST User successrate is  100
2017/10/30 19:25:13 2017-10-30 19:25:13.304948754 +0200 IST Authentication successrate is  100
